username,tweetcreatedat,text
Raeun_park,2022-10-05 23:55:12+00:00,"@rubydeninii hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
sicalonsultan,2022-10-05 23:55:08+00:00,"@curhatanpublik apa si jokowi pas kuliah ga punya teman? teman kampus,teman kosan? smp saat ini ga ada 1 org ngaku kenal dgn jokowi waktu dikampus, bahkan pihak ugm juga blm klarifikasi? #ijasahpalsu"
pshwateez,2022-10-05 23:55:07+00:00,ptn! kuliah di top 30 an gapapa kan ya?🥺🥺🥺🥺 https://t.co/PakFB6oZgc
Raeun_park,2022-10-05 23:55:07+00:00,"@IiIunar hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:55:03+00:00,"@arzakany hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:54:59+00:00,"@glumehubba hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:54:54+00:00,"@fvxkala hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:54:51+00:00,"@bellariey hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
Raeun_park,2022-10-05 23:54:48+00:00,"@zellaberrys hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
delxmarch,2022-10-05 23:54:46+00:00,"@ABCMocca__ @megantropusdada @kochengfs gue udah nekat, tapi pas gue ke kota lain buat kuliah kucing gue dah dibuang 😭😭😭😭"
breakdownfreaks,2022-10-05 23:54:44+00:00,"@biancavocado @sbmptnfess tapi tapi, jujur deh kalau kita kuliah di tempat yang ga terlalu terkenal, biasanya susah juga nyari kerja. Soalnya, kemarin lewat di tl, banyak yang ngehire pelamar dari univ gede kek ui,itb,unpad, dll"
Raeun_park,2022-10-05 23:54:36+00:00,"@vetranxxe hayyi morning thamu iyya thamu yang baca ini , gimana tidur na nyenyak nda?hari ini ada kegiatan kerja/kuliah/school kah? kalau iya semangat okey, don't skip u breakfast and have a nice day ay, jangan lupa tersenyum untuk dirimu sendiri okey ^^🤍"
