username,tweetcreatedat,text,clean_text,remove_symb,clean_text_two,case_fold,tokenize,data
Eyunseok,2022-10-05 23:44:16+00:00,morning oll gw mau kuliah pagi,morning oll gw mau kuliah pagi,morning oll gw mau kuliah pagi,morning oll gw mau kuliah pagi,morning oll gw mau kuliah pagi,"['morning', 'oll', 'kuliah', 'pagi']",morning oll kuliah pagi
niaamakura,2022-10-05 23:44:06+00:00,Berdoa kepda tuhan agar dikasi rezeki biar anak nanti kuliah setinggi tingginya sehingga tidak perlu jadi,Berdoa kepda tuhan agar dikasi rezeki biar anak nanti kuliah setinggi tingginya sehingga tidak perlu jadi,Berdoa kepda tuhan agar dikasi rezeki biar anak nanti kuliah setinggi tingginya sehingga tidak perlu jadi,Berdoa kepda tuhan agar dikasi rezeki biar anak nanti kuliah setinggi tingginya sehingga tidak perlu jadi,berdoa kepda tuhan agar dikasi rezeki biar anak nanti kuliah setinggi tingginya sehingga tidak perlu jadi,"['doa', 'kepda', 'tuhan', 'kasi', 'rezeki', 'biar', 'anak', 'kuliah', 'tinggi']",doa kepda tuhan kasi rezeki biar anak kuliah tinggi
kucingkrisis,2022-10-05 23:44:02+00:00,Kismin kismin aset dibekukan tapi kuliah di uph hiyay https://t.co/OvOURs4WEl,Kismin kismin aset dibekukan tapi kuliah di uph hiyay https://t.co/OvOURs4WEl,Kismin kismin aset dibekukan tapi kuliah di uph hiyay,Kismin kismin aset dibekukan tapi kuliah di uph hiyay,kismin kismin aset dibekukan tapi kuliah di uph hiyay,"['kismin', 'kismin', 'aset', 'beku', 'kuliah', 'uph', 'hiyay']",kismin kismin aset beku kuliah uph hiyay
sweetscthe8,2022-10-05 23:43:57+00:00,"@adoresviti morning kak za, aku kuliah. hbu??"," morning kak za, aku kuliah. hbu??",morning kak za aku kuliah hbu,morning kak za aku kuliah hbu,morning kak za aku kuliah hbu,"['morning', 'kak', 'za', 'kuliah', 'hbu']",morning kak za kuliah hbu
xadkaaz_,2022-10-05 23:43:53+00:00,"Tote bag wanita💗
🛍https://t.co/toBlxgR88Y

t. Tas cocok untuk kuliah kerja arap Love yourself superM park jisung #AgnezMo #JeonYeoBeen #EXO_GetTogether #Kyungsoo #28ReasonsWithSeulgi #진검승부 #NCT127_LAPopUp #LALISA #SHUTDOWN6thWin #ootdStyle #ShopeePayTHR #shopeehaul https://t.co/Nr0GU7Kwb6","Tote bag wanita💗
🛍https://t.co/toBlxgR88Y

t. Tas cocok untuk kuliah kerja arap Love yourself superM park jisung #AgnezMo #JeonYeoBeen #EXO_GetTogether #Kyungsoo #28ReasonsWithSeulgi #진검승부 #NCT127_LAPopUp #LALISA #SHUTDOWN6thWin #ootdStyle #ShopeePayTH#shopeehaul https://t.co/Nr0GU7Kwb6",Tote bag wanita t Tas cocok untuk kuliah kerja arap Love yourself superM park jisung AgnezMo JeonYeoBeen EXO GetTogether Kyungsoo 28ReasonsWithSeulgi NCT127 LAPopUp LALISA SHUTDOWN6thWin ootdStyle ShopeePayTH shopeehaul,Tote bag wanita t Tas cocok untuk kuliah kerja arap Love yourself superM park jisung AgnezMo JeonYeoBeen EXO GetTogether Kyungsoo ReasonsWithSeulgi NCT LAPopUp LALISA SHUTDOWNthWin ootdStyle ShopeePayTH shopeehaul,tote bag wanita t tas cocok untuk kuliah kerja arap love yourself superm park jisung agnezmo jeonyeobeen exo gettogether kyungsoo reasonswithseulgi nct lapopup lalisa shutdownthwin ootdstyle shopeepayth shopeehaul,"['tote', 'bag', 'wanita', 'tas', 'cocok', 'kuliah', 'arap', 'love', 'yourself', 'superm', 'park', 'jisung', 'agnezmo', 'jeonyeobeen', 'exo', 'gettogether', 'kyungsoo', 'reasonswithseulgi', 'nct', 'lapopup', 'lalisa', 'shutdownthwin', 'ootdstyle', 'shopeepayth', 'shopeehaul']",tote bag wanita tas cocok kuliah arap love yourself superm park jisung agnezmo jeonyeobeen exo gettogether kyungsoo reasonswithseulgi nct lapopup lalisa shutdownthwin ootdstyle shopeepayth shopeehaul
urbabybooz,2022-10-05 23:43:41+00:00,"@adhitpricera @tutticlubbb Mo pickme, ak sehari malah 3 propinsi xixixi
Rumah depok
Kantor kunginga
Kuliah malem ciputat xixixi"," Mo pickme, ak sehari malah 3 propinsi xixixi
Rumah depok
Kantor kunginga
Kuliah malem ciputat xixixi",Mo pickme ak sehari malah 3 propinsi xixixi Rumah depok Kantor kunginga Kuliah malem ciputat xixixi,Mo pickme ak sehari malah  propinsi xixixi Rumah depok Kantor kunginga Kuliah malem ciputat xixixi,mo pickme ak sehari malah  propinsi xixixi rumah depok kantor kunginga kuliah malem ciputat xixixi,"['mo', 'pickme', 'ak', 'hari', 'propinsi', 'xixixi', 'rumah', 'depok', 'kantor', 'kunginga', 'kuliah', 'malem', 'ciputat', 'xixixi']",mo pickme ak hari propinsi xixixi rumah depok kantor kunginga kuliah malem ciputat xixixi
sbyfess,2022-10-05 23:43:24+00:00,-cak Kuliah semester 1 minggu ke 6 wes aras arasen. Menglelah,-cak Kuliah semester 1 minggu ke 6 wes aras arasen. Menglelah,cak Kuliah semester 1 minggu ke 6 wes aras arasen Menglelah,cak Kuliah semester  minggu ke  wes aras arasen Menglelah,cak kuliah semester  minggu ke  wes aras arasen menglelah,"['cak', 'kuliah', 'semester', 'minggu', 'wes', 'aras', 'arasen', 'menglelah']",cak kuliah semester minggu wes aras arasen menglelah
rizkydzu,2022-10-05 23:43:19+00:00,@collegemenfess Buat kuliah tuh cuman CTRL + C/X dan CTRL + V, Buat kuliah tuh cuman CTRL + C/X dan CTRL + V,Buat kuliah tuh cuman CTRL C X dan CTRL V,Buat kuliah tuh cuman CTRL C X dan CTRL V,buat kuliah tuh cuman ctrl c x dan ctrl v,"['kuliah', 'tuh', 'cuman', 'ctrl', 'ctrl']",kuliah tuh cuman ctrl ctrl
xadkaaz_,2022-10-05 23:43:05+00:00,"Rekomendasi Sepatu Tampilan Casual ✨
Cocok untuk kuliah/hangout
1. https://t.co/mFXfoxfR14
2. https://t.co/wMSScUUa1i
3. https://t.co/eGeWBk4tbN
4. https://t.co/qKlV5YvCux

T: #SelamatDatangWayV Tasya rehan #Voguegala2022XMileApo KPop minicon with winner jisoo https://t.co/lovakgxKYt","Rekomendasi Sepatu Tampilan Casual ✨
Cocok untuk kuliah/hangout
1. https://t.co/mFXfoxfR14
2. https://t.co/wMSScUUa1i
3. https://t.co/eGeWBk4tbN
4. https://t.co/qKlV5YvCux

T: #SelamatDatangWayV Tasya rehan #Voguegala2022XMileApo KPop minicon with winner jisoo https://t.co/lovakgxKYt",Rekomendasi Sepatu Tampilan Casual Cocok untuk kuliah hangout 1 2 3 4 T SelamatDatangWayV Tasya rehan Voguegala2022XMileApo KPop minicon with winner jisoo,Rekomendasi Sepatu Tampilan Casual Cocok untuk kuliah hangout     T SelamatDatangWayV Tasya rehan VoguegalaXMileApo KPop minicon with winner jisoo,rekomendasi sepatu tampilan casual cocok untuk kuliah hangout     t selamatdatangwayv tasya rehan voguegalaxmileapo kpop minicon with winner jisoo,"['rekomendasi', 'sepatu', 'tampil', 'casual', 'cocok', 'kuliah', 'hangout', 'selamatdatangwayv', 'tasya', 'rehan', 'voguegalaxmileapo', 'kpop', 'minicon', 'with', 'winner', 'jisoo']",rekomendasi sepatu tampil casual cocok kuliah hangout selamatdatangwayv tasya rehan voguegalaxmileapo kpop minicon with winner jisoo
aircanea,2022-10-05 23:43:03+00:00,@coolblueberryz isi chat bapak js kepada anak (anakan)nya yg kuliah rantau, isi chat bapak js kepada anak (anakan)nya yg kuliah rantau,isi chat bapak js kepada anak anakan nya yg kuliah rantau,isi chat bapak js kepada anak anakan nya yg kuliah rantau,isi chat bapak js kepada anak anakan nya yg kuliah rantau,"['isi', 'chat', 'js', 'anak', 'ana', 'kuliah', 'rantau']",isi chat js anak ana kuliah rantau
__sanaya,2022-10-05 23:42:47+00:00,[cm] Gimana ya caranya biar bikin lingkungan kuliah melek teknologi 😞😞 https://t.co/XqxxnuRkCs,[cm] Gimana ya caranya biar bikin lingkungan kuliah melek teknologi 😞😞 https://t.co/XqxxnuRkCs,cm Gimana ya caranya biar bikin lingkungan kuliah melek teknologi,Gimana ya caranya biar bikin lingkungan kuliah melek teknologi,gimana ya caranya biar bikin lingkungan kuliah melek teknologi,"['gimana', 'biar', 'bikin', 'lingkung', 'kuliah', 'melek', 'teknologi']",gimana biar bikin lingkung kuliah melek teknologi
mriebljr,2022-10-05 23:42:40+00:00,Tuhan pengen kuliah https://t.co/18aYmsQShS,Tuhan pengen kuliah https://t.co/18aYmsQShS,Tuhan pengen kuliah,Tuhan pengen kuliah,tuhan pengen kuliah,"['tuhan', 'ken', 'kuliah']",tuhan ken kuliah
virmansyah_bram,2022-10-05 23:42:32+00:00,"Morning all semoga hari lebih baik dari hari kemarin,yang sakit lekas di sembuhkan,yg kerja Semangat kerja nya,yg kuliah semangat kuliah nya.🤗💪","Morning all semoga hari lebih baik dari hari kemarin,yang sakit lekas di sembuhkan,yg kerja Semangat kerja nya,yg kuliah semangat kuliah nya.🤗💪",Morning all semoga hari lebih baik dari hari kemarin yang sakit lekas di sembuhkan yg kerja Semangat kerja nya yg kuliah semangat kuliah nya,Morning all semoga hari lebih baik dari hari kemarin yang sakit lekas di sembuhkan yg kerja Semangat kerja nya yg kuliah semangat kuliah nya,morning all semoga hari lebih baik dari hari kemarin yang sakit lekas di sembuhkan yg kerja semangat kerja nya yg kuliah semangat kuliah nya,"['morning', 'all', 'moga', 'kemarin', 'sakit', 'lekas', 'sembuh', 'semangat', 'kuliah', 'semangat', 'kuliah']",morning all moga kemarin sakit lekas sembuh semangat kuliah semangat kuliah
honglah_,2022-10-05 23:42:28+00:00,@blinggdulce kuliah lagi donggg, kuliah lagi donggg,kuliah lagi donggg,kuliah lagi donggg,kuliah lagi donggg,"['kuliah', 'donggg']",kuliah donggg
TheRedSIeeve,2022-10-05 23:42:28+00:00,"@infotwitwor_ terimakasih, saya jadi termotivasi buat kuliah yg bener biar bisa sombong kayak gini ke kaum halo dek"," terimakasih, saya jadi termotivasi buat kuliah yg bener biar bisa sombong kayak gini ke kaum halo dek",terimakasih saya jadi termotivasi buat kuliah yg bener biar bisa sombong kayak gini ke kaum halo dek,terimakasih saya jadi termotivasi buat kuliah yg bener biar bisa sombong kayak gini ke kaum halo dek,terimakasih saya jadi termotivasi buat kuliah yg bener biar bisa sombong kayak gini ke kaum halo dek,"['terimakasih', 'motivasi', 'kuliah', 'bener', 'biar', 'sombong', 'kayak', 'gin', 'kaum', 'dek']",terimakasih motivasi kuliah bener biar sombong kayak gin kaum dek
jeongchannieo,2022-10-05 23:42:08+00:00,WKWKW UDH SIAP BANGET KULIAH KIRAIN JAM 7 TERNYATA JAM 10 HEHEHWHHWHW,WKWKW UDH SIAP BANGET KULIAH KIRAIN JAM 7 TERNYATA JAM 10 HEHEHWHHWHW,WKWKW UDH SIAP BANGET KULIAH KIRAIN JAM 7 TERNYATA JAM 10 HEHEHWHHWHW,WKWKW UDH SIAP BANGET KULIAH KIRAIN JAM  TERNYATA JAM  HEHEHWHHWHW,wkwkw udh siap banget kuliah kirain jam  ternyata jam  hehehwhhwhw,"['wkwkw', 'banget', 'kuliah', 'kirain', 'jam', 'jam', 'hehehwhhwhw']",wkwkw banget kuliah kirain jam jam hehehwhhwhw
convomfs,2022-10-05 23:42:06+00:00,💭 bolos kuliah atau ikut seleksi  offline interview alfamerit?,💭 bolos kuliah atau ikut seleksi  offline interview alfamerit?,bolos kuliah atau ikut seleksi offline interview alfamerit,bolos kuliah atau ikut seleksi offline interview alfamerit,bolos kuliah atau ikut seleksi offline interview alfamerit,"['bolos', 'kuliah', 'seleksi', 'offline', 'interview', 'alfamerit']",bolos kuliah seleksi offline interview alfamerit
22O913,2022-10-05 23:42:00+00:00,Sp yg dh kuliah tp sarapannya masih disuapin mmak? Ak,Sp yg dh kuliah tp sarapannya masih disuapin mmak? Ak,Sp yg dh kuliah tp sarapannya masih disuapin mmak Ak,Sp yg dh kuliah tp sarapannya masih disuapin mmak Ak,sp yg dh kuliah tp sarapannya masih disuapin mmak ak,"['sp', 'dh', 'kuliah', 'sarap', 'disuapin', 'mmak', 'ak']",sp dh kuliah sarap disuapin mmak ak
rantiadiantt,2022-10-05 23:41:58+00:00,"@kaptenAmercia Gagal dapet kerja, gagal kuliah, gagal we pokonamah:(("," Gagal dapet kerja, gagal kuliah, gagal we pokonamah:((",Gagal dapet kerja gagal kuliah gagal we pokonamah,Gagal dapet kerja gagal kuliah gagal we pokonamah,gagal dapet kerja gagal kuliah gagal we pokonamah,"['gagal', 'dapet', 'gagal', 'kuliah', 'gagal', 'we', 'pokonamah']",gagal dapet gagal kuliah gagal we pokonamah
liaxxnjun,2022-10-05 23:41:54+00:00,kuliah dik,kuliah dik,kuliah dik,kuliah dik,kuliah dik,"['kuliah', 'dik']",kuliah dik
makimytype,2022-10-05 23:41:35+00:00,"@sbmptnfess ga semua org punya privilege dibebasin pilih jurusan tapi plis pikir baik2. ini angkatanku udah byk yg cabut padahal baru 7 minggu, prodiku udah 2 orang. oh ya mata kuliah itu bener2 focused menunjang bidang ilmu yg dipilih, jadi ayo research dulu di website prodi 🙏🏻🙏🏻"," ga semua org punya privilege dibebasin pilih jurusan tapi plis pikir baik2. ini angkatanku udah byk yg cabut padahal baru 7 minggu, prodiku udah 2 orang. oh ya mata kuliah itu bener2 focused menunjang bidang ilmu yg dipilih, jadi ayo research dulu di website prodi 🙏🏻🙏🏻",ga semua org punya privilege dibebasin pilih jurusan tapi plis pikir baik2 ini angkatanku udah byk yg cabut padahal baru 7 minggu prodiku udah 2 orang oh ya mata kuliah itu bener2 focused menunjang bidang ilmu yg dipilih jadi ayo research dulu di website prodi,ga semua org punya privilege dibebasin pilih jurusan tapi plis pikir baik ini angkatanku udah byk yg cabut padahal baru  minggu prodiku udah  orang oh ya mata kuliah itu bener focused menunjang bidang ilmu yg dipilih jadi ayo research dulu di website prodi,ga semua org punya privilege dibebasin pilih jurusan tapi plis pikir baik ini angkatanku udah byk yg cabut padahal baru  minggu prodiku udah  orang oh ya mata kuliah itu bener focused menunjang bidang ilmu yg dipilih jadi ayo research dulu di website prodi,"['org', 'privilege', 'dibebasin', 'pilih', 'jurus', 'plis', 'pikir', 'angkat', 'udah', 'cabut', 'minggu', 'prodiku', 'udah', 'oh', 'kuliah', 'bener', 'focused', 'tunjang', 'bidang', 'ilmu', 'pilih', 'ayo', 'research', 'website', 'prodi']",org privilege dibebasin pilih jurus plis pikir angkat udah cabut minggu prodiku udah oh kuliah bener focused tunjang bidang ilmu pilih ayo research website prodi
gasukabocii,2022-10-05 23:41:21+00:00,@collegemenfess Tp jujurly dari semester 1 aku udaa gada semangat kuliah 😭 kek udaa capek si bcz pas SMA mayan ambis tp ga yg tiap hari belajar mulu, Tp jujurly dari semester 1 aku udaa gada semangat kuliah 😭 kek udaa capek si bcz pas SMA mayan ambis tp ga yg tiap hari belajar mulu,Tp jujurly dari semester 1 aku udaa gada semangat kuliah kek udaa capek si bcz pas SMA mayan ambis tp ga yg tiap hari belajar mulu,Tp jujurly dari semester  aku udaa gada semangat kuliah kek udaa capek si bcz pas SMA mayan ambis tp ga yg tiap hari belajar mulu,tp jujurly dari semester  aku udaa gada semangat kuliah kek udaa capek si bcz pas sma mayan ambis tp ga yg tiap hari belajar mulu,"['jujurly', 'semester', 'udaa', 'gada', 'semangat', 'kuliah', 'kek', 'udaa', 'capek', 'bcz', 'pas', 'sma', 'mayan', 'ambis', 'ajar', 'mulu']",jujurly semester udaa gada semangat kuliah kek udaa capek bcz pas sma mayan ambis ajar mulu
jirin_Bima,2022-10-05 23:41:13+00:00,"Sekarang aku sadar bahwa pada realitanya kuliah adalah simulasi untuk hidup melawan ego dan imbisi orang lain, kuliah adalah tempat untuk saling menilai kesetiaan satu sama lain.

""Kuliah adalah bioskop terbaik untuk menonton kemunafikan orang lain""

#Pendidikan","Sekarang aku sadar bahwa pada realitanya kuliah adalah simulasi untuk hidup melawan ego dan imbisi orang lain, kuliah adalah tempat untuk saling menilai kesetiaan satu sama lain.

""Kuliah adalah bioskop terbaik untuk menonton kemunafikan orang lain""

#Pendidikan",Sekarang aku sadar bahwa pada realitanya kuliah adalah simulasi untuk hidup melawan ego dan imbisi orang lain kuliah adalah tempat untuk saling menilai kesetiaan satu sama lain Kuliah adalah bioskop terbaik untuk menonton kemunafikan orang lain Pendidikan,Sekarang aku sadar bahwa pada realitanya kuliah adalah simulasi untuk hidup melawan ego dan imbisi orang lain kuliah adalah tempat untuk saling menilai kesetiaan satu sama lain Kuliah adalah bioskop terbaik untuk menonton kemunafikan orang lain Pendidikan,sekarang aku sadar bahwa pada realitanya kuliah adalah simulasi untuk hidup melawan ego dan imbisi orang lain kuliah adalah tempat untuk saling menilai kesetiaan satu sama lain kuliah adalah bioskop terbaik untuk menonton kemunafikan orang lain pendidikan,"['sadar', 'realitanya', 'kuliah', 'simulasi', 'hidup', 'lawan', 'ego', 'imbisi', 'kuliah', 'nilai', 'setia', 'kuliah', 'bioskop', 'baik', 'tonton', 'munafik', 'didik']",sadar realitanya kuliah simulasi hidup lawan ego imbisi kuliah nilai setia kuliah bioskop baik tonton munafik didik
patoopie,2022-10-05 23:41:07+00:00,"@shireoyo aku kuliah, papi eyii. nanti jam 9 :D"," aku kuliah, papi eyii. nanti jam 9 :D",aku kuliah papi eyii nanti jam 9 D,aku kuliah papi eyii nanti jam  D,aku kuliah papi eyii nanti jam  d,"['kuliah', 'papi', 'eyii', 'jam']",kuliah papi eyii jam
cutestlilbrat_,2022-10-05 23:40:59+00:00,@whosapi @collegemenfess :) gak mau kuliah, :) gak mau kuliah,gak mau kuliah,gak mau kuliah,gak mau kuliah,"['gak', 'kuliah']",gak kuliah
owhaea,2022-10-05 23:40:59+00:00,@collegemenfess ga begitu penting sih tapi bolehlah asalkan ga sampe ganggu kuliah, ga begitu penting sih tapi bolehlah asalkan ga sampe ganggu kuliah,ga begitu penting sih tapi bolehlah asalkan ga sampe ganggu kuliah,ga begitu penting sih tapi bolehlah asalkan ga sampe ganggu kuliah,ga begitu penting sih tapi bolehlah asalkan ga sampe ganggu kuliah,"['sampe', 'ganggu', 'kuliah']",sampe ganggu kuliah
DWONGPEYO,2022-10-05 23:40:35+00:00,"@Minimintmew @convomfs Nemu ajaa, tapi thx bakal gw dengerin pas balik kuliah"," Nemu ajaa, tapi thx bakal gw dengerin pas balik kuliah",Nemu ajaa tapi thx bakal gw dengerin pas balik kuliah,Nemu ajaa tapi thx bakal gw dengerin pas balik kuliah,nemu ajaa tapi thx bakal gw dengerin pas balik kuliah,"['nemu', 'ajaa', 'thx', 'dengerin', 'pas', 'kuliah']",nemu ajaa thx dengerin pas kuliah
EDH012,2022-10-05 23:40:28+00:00,"@AfrizaMunaf @Beni332211 @NasDem @aniesbaswedan Saran saya, kalau buat kliping pahami dulu apa isi kliping.
Nanti ketahuan kalau itu hasil kerja orang dan ente cuma copy paste.
Ibarat kuliah, tugas bisa aja cari master dr teman, tapi ya pahami dulu apa yg dikerjakan teman.
Kalau kamu pernah kuliah, pasti ngerti.😁😁😁"," Saran saya, kalau buat kliping pahami dulu apa isi kliping.
Nanti ketahuan kalau itu hasil kerja orang dan ente cuma copy paste.
Ibarat kuliah, tugas bisa aja cari master dr teman, tapi ya pahami dulu apa yg dikerjakan teman.
Kalau kamu pernah kuliah, pasti ngerti.😁😁😁",Saran saya kalau buat kliping pahami dulu apa isi kliping Nanti ketahuan kalau itu hasil kerja orang dan ente cuma copy paste Ibarat kuliah tugas bisa aja cari master dr teman tapi ya pahami dulu apa yg dikerjakan teman Kalau kamu pernah kuliah pasti ngerti,Saran saya kalau buat kliping pahami dulu apa isi kliping Nanti ketahuan kalau itu hasil kerja orang dan ente cuma copy paste Ibarat kuliah tugas bisa aja cari master dr teman tapi ya pahami dulu apa yg dikerjakan teman Kalau kamu pernah kuliah pasti ngerti,saran saya kalau buat kliping pahami dulu apa isi kliping nanti ketahuan kalau itu hasil kerja orang dan ente cuma copy paste ibarat kuliah tugas bisa aja cari master dr teman tapi ya pahami dulu apa yg dikerjakan teman kalau kamu pernah kuliah pasti ngerti,"['saran', 'kliping', 'paham', 'isi', 'kliping', 'tahu', 'hasil', 'ente', 'copy', 'paste', 'kuliah', 'tugas', 'aja', 'cari', 'master', 'dr', 'teman', 'paham', 'teman', 'kuliah', 'ngerti']",saran kliping paham isi kliping tahu hasil ente copy paste kuliah tugas aja cari master dr teman paham teman kuliah ngerti
rifqh4nif,2022-10-05 23:40:20+00:00,"Sepakbola qt sejak sy SMA, diajar guru, lalu kuliah, diajar dosen, sampee dadi dosen, ngajar mahasiswa, puancett...","Sepakbola qt sejak sy SMA, diajar guru, lalu kuliah, diajar dosen, sampee dadi dosen, ngajar mahasiswa, puancett...",Sepakbola qt sejak sy SMA diajar guru lalu kuliah diajar dosen sampee dadi dosen ngajar mahasiswa puancett,Sepakbola qt sejak sy SMA diajar guru lalu kuliah diajar dosen sampee dadi dosen ngajar mahasiswa puancett,sepakbola qt sejak sy sma diajar guru lalu kuliah diajar dosen sampee dadi dosen ngajar mahasiswa puancett,"['sepakbola', 'qt', 'sy', 'sma', 'ajar', 'guru', 'kuliah', 'ajar', 'dosen', 'sampee', 'dadi', 'dosen', 'ngajar', 'mahasiswa', 'puancett']",sepakbola qt sy sma ajar guru kuliah ajar dosen sampee dadi dosen ngajar mahasiswa puancett
cacanakbaik,2022-10-05 23:40:18+00:00,kalo gue ga butuh duit jg gue kaga mau kerja anjgg gue maunya kuliah,kalo gue ga butuh duit jg gue kaga mau kerja anjgg gue maunya kuliah,kalo gue ga butuh duit jg gue kaga mau kerja anjgg gue maunya kuliah,kalo gue ga butuh duit jg gue kaga mau kerja anjgg gue maunya kuliah,kalo gue ga butuh duit jg gue kaga mau kerja anjgg gue maunya kuliah,"['kalo', 'butuh', 'duit', 'kaga', 'anjgg', 'mau', 'kuliah']",kalo butuh duit kaga anjgg mau kuliah
airaaazzahraa,2022-10-05 23:40:17+00:00,kuliah ga sampe malem aja ngeluhnya semaleman,kuliah ga sampe malem aja ngeluhnya semaleman,kuliah ga sampe malem aja ngeluhnya semaleman,kuliah ga sampe malem aja ngeluhnya semaleman,kuliah ga sampe malem aja ngeluhnya semaleman,"['kuliah', 'sampe', 'malem', 'aja', 'ngeluhnya', 'maleman']",kuliah sampe malem aja ngeluhnya maleman
PTersesat99,2022-10-05 23:40:09+00:00,"@sbyfess Kon kebacut lur, gak onok usahane blas dadi wong lanang. Mosok awakmu bondo awak tok nek pacaran, kuliah bukan alasan ga isok nabung. 🤣"," Kon kebacut lur, gak onok usahane blas dadi wong lanang. Mosok awakmu bondo awak tok nek pacaran, kuliah bukan alasan ga isok nabung. 🤣",Kon kebacut lur gak onok usahane blas dadi wong lanang Mosok awakmu bondo awak tok nek pacaran kuliah bukan alasan ga isok nabung,Kon kebacut lur gak onok usahane blas dadi wong lanang Mosok awakmu bondo awak tok nek pacaran kuliah bukan alasan ga isok nabung,kon kebacut lur gak onok usahane blas dadi wong lanang mosok awakmu bondo awak tok nek pacaran kuliah bukan alasan ga isok nabung,"['kon', 'bacut', 'lur', 'gak', 'onok', 'usahane', 'blas', 'dadi', 'lanang', 'mosok', 'awak', 'bondo', 'awak', 'tok', 'nek', 'pacar', 'kuliah', 'alas', 'isok', 'nabung']",kon bacut lur gak onok usahane blas dadi lanang mosok awak bondo awak tok nek pacar kuliah alas isok nabung
zeuscreature,2022-10-05 23:39:55+00:00,@fvcbsd sibuk kuliah a :((, sibuk kuliah a :((,sibuk kuliah a,sibuk kuliah a,sibuk kuliah a,"['sibuk', 'kuliah']",sibuk kuliah
bebytsabina_a,2022-10-05 23:39:50+00:00,"@TAJ95MINSI Yapp aku kuliah eonnie
Sini sini ikuut"," Yapp aku kuliah eonnie
Sini sini ikuut",Yapp aku kuliah eonnie Sini sini ikuut,Yapp aku kuliah eonnie Sini sini ikuut,yapp aku kuliah eonnie sini sini ikuut,"['yapp', 'kuliah', 'eonnie', 'ikuut']",yapp kuliah eonnie ikuut
MaheerOman,2022-10-05 23:39:47+00:00,"@FreedomlandSatu Logika aj di pakai,,klo uda kuliah mustahil tdk fasih bahasa Inggris."," Logika aj di pakai,,klo uda kuliah mustahil tdk fasih bahasa Inggris.",Logika aj di pakai klo uda kuliah mustahil tdk fasih bahasa Inggris,Logika aj di pakai klo uda kuliah mustahil tdk fasih bahasa Inggris,logika aj di pakai klo uda kuliah mustahil tdk fasih bahasa inggris,"['logika', 'aj', 'pakai', 'klo', 'uda', 'kuliah', 'mustahil', 'fasih', 'bahasa', 'inggris']",logika aj pakai klo uda kuliah mustahil fasih bahasa inggris
_SEKNAS_RI,2022-10-05 23:39:41+00:00,"@Nunna_RM tp bapaknya kalo jalan aga nyeret deh kakinya. Eh sumpa risih banget sih itu, mana ditanyain sampe punya pacar apa ga sama ngasih kata kata nyuruh putus biar fokus kuliah, mana bapak bapak yg pompa ban cuman senyum senyum doang lagi"," tp bapaknya kalo jalan aga nyeret deh kakinya. Eh sumpa risih banget sih itu, mana ditanyain sampe punya pacar apa ga sama ngasih kata kata nyuruh putus biar fokus kuliah, mana bapak bapak yg pompa ban cuman senyum senyum doang lagi",tp bapaknya kalo jalan aga nyeret deh kakinya Eh sumpa risih banget sih itu mana ditanyain sampe punya pacar apa ga sama ngasih kata kata nyuruh putus biar fokus kuliah mana bapak bapak yg pompa ban cuman senyum senyum doang lagi,tp bapaknya kalo jalan aga nyeret deh kakinya Eh sumpa risih banget sih itu mana ditanyain sampe punya pacar apa ga sama ngasih kata kata nyuruh putus biar fokus kuliah mana bapak bapak yg pompa ban cuman senyum senyum doang lagi,tp bapaknya kalo jalan aga nyeret deh kakinya eh sumpa risih banget sih itu mana ditanyain sampe punya pacar apa ga sama ngasih kata kata nyuruh putus biar fokus kuliah mana bapak bapak yg pompa ban cuman senyum senyum doang lagi,"['bapak', 'kalo', 'jalan', 'aga', 'nyeret', 'deh', 'kaki', 'eh', 'sumpa', 'risih', 'banget', 'ditanyain', 'sampe', 'pacar', 'ngasih', 'nyuruh', 'putus', 'biar', 'fokus', 'kuliah', 'pompa', 'ban', 'cuman', 'senyum', 'senyum', 'doang']",bapak kalo jalan aga nyeret deh kaki eh sumpa risih banget ditanyain sampe pacar ngasih nyuruh putus biar fokus kuliah pompa ban cuman senyum senyum doang
j3ongjaehyun,2022-10-05 23:38:31+00:00,kuliah pake spatu running karena WHY NOT ANJINGGG kaki gua lecet 💔 https://t.co/t5r2zCNoqQ,kuliah pake spatu running karena WHY NOT ANJINGGG kaki gua lecet 💔 https://t.co/t5r2zCNoqQ,kuliah pake spatu running karena WHY NOT ANJINGGG kaki gua lecet,kuliah pake spatu running karena WHY NOT ANJINGGG kaki gua lecet,kuliah pake spatu running karena why not anjinggg kaki gua lecet,"['kuliah', 'pake', 'spatu', 'running', 'why', 'not', 'anjinggg', 'kaki', 'lecet']",kuliah pake spatu running why not anjinggg kaki lecet
